                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.8659,                  2.552,                 2.1359,                0.00352,                0.49444,                0.00888,                0.00355,                 2.6684,                 4.4336,                 2.6512,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.8723,                 2.6069,                 2.1086,                0.10589,                0.11111,                0.04001,                0.03116,                 2.5615,                 4.5757,                 2.5856,             0.00077823,             0.00077823,             0.00077823
                     26,                 1.7998,                 2.4567,                 2.0376,                0.00304,                0.49444,                0.02698,                0.00902,                 2.6014,                 4.2865,                 2.6019,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.8015,                 2.4835,                 2.0407,                0.15788,                0.11421,                0.06632,                0.02783,                 2.5581,                 4.0805,                 2.5732,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.7573,                 2.4373,                 2.0006,                0.02794,                0.26111,                0.03007,                 0.0208,                 2.3469,                 4.3599,                 2.3766,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.7355,                 2.4358,                 2.0063,                0.05671,                0.11873,                0.03531,                0.01404,                  2.581,                 4.2194,                 2.2857,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.7024,                 2.3592,                 1.9522,                0.05607,                   0.15,                0.04588,                0.02197,                 2.5616,                 4.1807,                 2.5504,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.6987,                 2.3655,                 1.9481,                0.07701,                0.08333,                0.03955,                0.01379,                  2.485,                 4.0232,                 2.3952,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.7077,                 2.3806,                 1.9717,                0.01453,                   0.15,                0.03569,                0.01403,                 2.5076,                 4.1059,                 2.5826,             0.00058017,             0.00058017,             0.00058017
                     33,                 1.6858,                    2.4,                 1.9506,                 0.0263,                0.08333,                0.02738,                0.00924,                 2.4516,                 4.3038,                 2.6137,             0.00055188,             0.00055188,             0.00055188
                     34,                 1.6099,                 2.2569,                 1.8959,                0.04096,                   0.15,                0.04699,                0.02245,                 2.3518,                 3.8431,                 2.2945,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.6521,                 2.2868,                 1.8887,                 0.1602,                 0.1068,                0.07903,                0.04707,                 2.4228,                 4.0248,                 2.3061,             0.00049529,             0.00049529,             0.00049529
                     36,                  1.583,                 2.2619,                 1.8542,                0.00322,                0.49444,                0.10147,                 0.0237,                 2.5295,                 3.9526,                 2.5886,               0.000467,               0.000467,               0.000467
                     37,                 1.5638,                 2.2218,                 1.8268,                 0.1072,                   0.15,                0.07099,                0.02782,                 2.6292,                 4.1733,                 2.5743,              0.0004387,              0.0004387,              0.0004387
                     38,                  1.589,                 2.2059,                 1.8554,                0.10876,                0.19444,                 0.0796,                0.04325,                 2.3422,                 3.9575,                 2.1993,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.5848,                 2.1769,                 1.8213,                0.12366,                0.26111,                0.04942,                0.02861,                 2.2022,                 3.9579,                  2.085,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.5735,                 2.1767,                 1.8265,                0.09512,                0.19444,                0.07966,                0.03387,                    2.3,                 3.8679,                 2.1134,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.5268,                 2.2439,                 1.8141,                0.16176,                0.25825,                0.05954,                 0.0327,                 2.4232,                 3.6573,                 2.1975,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.5391,                 2.2012,                 1.7929,                0.10291,                0.19444,                0.06069,                0.03134,                 2.2584,                 3.5873,                 2.0733,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.4729,                 2.1207,                 1.7647,                0.07791,                0.26111,                 0.0493,                0.02629,                 2.2271,                 3.6464,                 2.0565,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.5125,                 2.1242,                 1.7765,                0.12704,                0.26111,                0.11843,                0.04014,                 2.2918,                 3.7401,                 2.2272,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.4875,                 2.1221,                  1.766,                0.14353,                0.26111,                0.06908,                0.03674,                 2.2967,                 3.6127,                 2.1265,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.4715,                 2.0844,                 1.7512,                 0.1393,                0.26111,                0.06624,                0.04086,                 2.1913,                 3.5396,                 2.0773,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.4339,                  2.009,                 1.7197,                0.10592,                0.17778,                0.06456,                 0.0402,                 2.2541,                 3.5737,                 2.0781,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.4619,                 2.0611,                 1.7511,                0.14159,                0.17778,                0.06854,                0.04302,                  2.244,                 3.4942,                 2.1158,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.4659,                 2.0253,                 1.7255,                0.17688,                0.26111,                0.07397,                0.04286,                 2.2975,                 3.5237,                 2.1563,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.4274,                 1.9785,                 1.6942,                0.26042,                0.26111,                0.09275,                0.04268,                  2.272,                 3.4516,                 2.1277,             7.0878e-05,             7.0878e-05,             7.0878e-05
