                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7889,                 4.4903,                 4.2298,                0.00027,                0.08333,                0.00019,                  2e-05,                 4.0338,                 6.4463,                 4.1596,             0.00035725,             0.00035725,             0.00035725
                      2,                 3.6877,                 4.2352,                 4.0898,                0.00029,                0.08333,                0.00018,                  2e-05,                 4.0543,                 6.1005,                 4.1877,             0.00071436,             0.00071436,             0.00071436
                      3,                 3.4616,                 4.0481,                 3.8533,                0.00029,                0.08333,                0.00018,                  2e-05,                  4.034,                 6.1437,                 4.3771,              0.0010568,              0.0010568,              0.0010568
                      4,                 3.3002,                 3.8677,                 3.5613,                0.00029,                0.08333,                0.00018,                  2e-05,                 4.0251,                 6.3454,                 4.4841,              0.0013441,              0.0013441,              0.0013441
                      5,                 3.0985,                 3.8075,                  3.435,                0.00029,                0.08333,                0.00018,                  2e-05,                 3.9329,                 6.0607,                 4.4378,              0.0013441,              0.0013441,              0.0013441
                      6,                 2.9445,                 3.5868,                 3.2346,                0.00029,                0.08333,                0.00018,                  2e-05,                  3.803,                 6.3184,                 4.2224,              0.0013158,              0.0013158,              0.0013158
                      7,                 2.8892,                 3.6134,                 3.1308,                0.00042,                0.08333,                0.00028,                0.00011,                 3.0074,                 8.8816,                 3.4249,              0.0012875,              0.0012875,              0.0012875
                      8,                  2.758,                 3.4376,                 2.9607,                0.00192,                    0.3,                0.00283,                 0.0007,                 3.1264,                 5.3139,                 3.3374,              0.0012592,              0.0012592,              0.0012592
                      9,                 2.6362,                 3.3834,                 2.8816,                0.00151,                    0.3,                0.00186,                 0.0007,                 2.8199,                 5.8283,                 3.2539,              0.0012309,              0.0012309,              0.0012309
                     10,                 2.5814,                 3.2815,                 2.8249,                0.00029,                0.06667,                0.00031,                  3e-05,                 3.0993,                 6.2566,                  3.453,              0.0012026,              0.0012026,              0.0012026
                     11,                 2.4641,                 3.1679,                  2.723,                0.01051,                0.08333,                0.09104,                0.01272,                 2.8362,                 4.9686,                 3.2106,              0.0011744,              0.0011744,              0.0011744
                     12,                 2.3996,                 3.0929,                 2.6159,                0.00093,                0.21667,                0.00224,                0.00046,                 2.7718,                 5.8574,                 3.0437,              0.0011461,              0.0011461,              0.0011461
                     13,                 2.2352,                 2.9709,                 2.5307,                  0.002,                0.32778,                0.00406,                0.00183,                 2.8308,                 6.5392,                 2.9552,              0.0011178,              0.0011178,              0.0011178
                     14,                 2.1985,                 2.9396,                 2.5366,                0.09673,                0.08333,                 0.0314,                0.00505,                 2.7505,                 5.4701,                 3.0942,              0.0010895,              0.0010895,              0.0010895
                     15,                 2.1756,                 2.8585,                 2.4421,                0.00096,                0.23333,                0.00374,                0.00164,                 2.9826,                 5.2564,                 3.2631,              0.0010612,              0.0010612,              0.0010612
                     16,                 2.1169,                 2.8431,                 2.4024,                 0.0022,                0.42778,                0.01355,                0.00458,                 2.5741,                 4.5754,                 2.8861,              0.0010329,              0.0010329,              0.0010329
                     17,                 2.0406,                 2.7236,                 2.3109,                 0.0007,                   0.15,                0.00378,                0.00217,                 2.6667,                 5.6997,                 2.9307,              0.0010046,              0.0010046,              0.0010046
                     18,                 1.9991,                 2.7557,                 2.2522,                0.00172,                0.34444,                0.00572,                0.00309,                 2.4626,                 5.4909,                 2.7938,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.9489,                 2.6417,                 2.1892,                0.00255,                0.49444,                0.00963,                0.00413,                 2.6054,                 4.7764,                 2.7069,               0.000948,               0.000948,               0.000948
                     20,                 1.9468,                 2.7014,                 2.2234,                0.00253,                0.49444,                0.01047,                 0.0049,                 2.5595,                 4.6163,                  2.816,              0.0009197,              0.0009197,              0.0009197
                     21,                 1.9046,                 2.6052,                 2.1636,                0.00234,                0.41111,                0.01618,                0.00891,                 2.5865,                 4.4595,                 2.8237,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.9101,                 2.6062,                 2.1686,                0.00244,                0.42778,                 0.0045,                0.00227,                 2.4312,                 4.5534,                 2.8041,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.8664,                 2.6064,                 2.1203,                0.00224,                0.32778,                 0.0114,                 0.0045,                 2.6402,                 4.5919,                 2.7696,             0.00083482,             0.00083482,             0.00083482
