                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7889,                 4.4903,                 4.2298,                0.00027,                0.08333,                0.00019,                  2e-05,                 4.0338,                 6.4463,                 4.1596,             0.00035725,             0.00035725,             0.00035725
                      2,                 3.7072,                 4.2617,                 4.1201,                0.00029,                0.08333,                0.00019,                  2e-05,                 4.0531,                 6.2544,                 4.1801,             0.00048829,             0.00048829,             0.00048829
                      3,                 3.5755,                 4.1105,                 3.9766,                0.00029,                0.08333,                0.00019,                  2e-05,                 4.0396,                  5.968,                 4.2269,             0.00037411,             0.00037411,             0.00037411
